X,Bird,Type,Mass1..g.,Mass2..g.,Mass.avg.,Energy..j..h,DEE.kJ.d,Stage,totalTime.y,propColcal,propFlycal,propSwimcal,propRestcal,propSoarcal,odbaFlycal,odbaColcal,odbaSwimcal,odbaRestcal,odbaSoarcal
33,rwo/bs,1-sample,470,452,461,35346.78029,848.322727,in,1.672777778,0.477084025,0.288608436,0.188807705,0,0.045499834,0.799735176,0.076892362,0.236177757,NA,0.276464541
34,wbg/rs,2-sample,503,448,475.5,24376.8096,585.0434305,in,2.117222222,0.673314091,0.173314091,0.084098662,0.039753346,0.029519811,0.847971696,0.095710808,0.321209034,0.223039396,0.18227413
35,wge/bs,1-sample,461,450,455.5,18143.05377,435.4332905,in,1.393333333,0.791866029,0.050239234,0.018341308,0.112240829,0.0273126,0.907227277,0.073425419,0.220636142,0.158357686,0.325350573
36,wkg/wys,2-sample,471,448,459.5,27800.91198,667.2218876,in,1.768888889,0.631909548,0.218592965,0.095006281,0.02701005,0.027481156,0.829770256,0.122519291,0.365846783,0.382829885,0.16664126
37,wks/bow,1-sample,553,491.8,522.4,35762.79438,858.307065,in,2.259722222,0.546158574,0.215857406,0.123294407,0.080516288,0.034173325,0.925525991,0.113914643,0.206943145,0.194646409,0.306115481
38,ws/rgb,1-sample,481,520,500.5,50709.72306,1217.033353,in,1.631111111,0.315905995,0.396628065,0.228882834,0.008174387,0.050408719,0.838683964,0.096944551,0.221673461,0.346609122,0.357217176
39,ws/rgg,2-sample,435,452,443.5,28058.37376,673.4009702,pl,1.229444444,0.475598735,0.223452327,0.199728875,0.060777225,0.040442838,0.901153131,0.106241432,0.105150029,0.229546398,0.288012897
40,ws/yeb,2-sample,428,418,423,34418.56455,826.0455493,pl,1.289444444,0.41210685,0.265402844,0.096940974,0.175140026,0.050409306,0.843772102,0.139044768,0.100625606,0.122292733,0.232961394
41,www/bs,1-sample,370,452.8,411.4,22610.14162,542.6433989,pl,1.290277778,0.35780409,0.260710441,0.271259419,0.064800861,0.045425188,0.694832345,0.132396762,0.149917218,0.198634694,0.245819314
42,wyo/bs,1-sample,443,418,430.5,32082.3571,769.9765703,in,1.511666667,0.534913635,0.295847115,0.112458655,0.01598677,0.040793826,0.94721275,0.100103149,0.235483701,0.209017727,0.297208668
43,yeb/bs,1-sample,433,435,434,20923.91513,502.1739632,in,1.680277778,0.619110597,0.16829228,0.115721607,0.069432964,0.027442552,0.837158791,0.086830641,0.233262658,0.182555655,0.222758298
44,ygb/rs,2-sample,423,420,421.5,32600.58363,782.4140071,in,1.665277778,0.413177648,0.142618849,0.414678899,0.002502085,0.027022519,0.924851247,0.100322175,0.169145322,0.253143335,0.275158183
45,yog/ys,1-sample,498,470,484,26261.08727,630.2660945,in,1.327222222,0.629552114,0.122436166,0.129133529,0.090205107,0.028673085,0.799911683,0.111817954,0.200239969,0.207666954,0.315002393
46,yre/ws,2-sample,482,459,470.5,24662.51847,591.9004433,in,1.415833333,0.47930155,0.169315284,0.247008044,0.063762998,0.040612125,0.913819099,0.111411317,0.226632902,0.210755458,0.30019612
47,ys/beo,1-sample,430,443,436.5,32851.03336,788.4248007,in,1.314722222,0.445806043,0.247623072,0.287555462,0.001267695,0.017747729,0.883679077,0.106601875,0.165508794,0.67716819,0.117760174
48,ys/bry,2-sample,417,391,404,26726.11074,641.4266578,pl,1.276666667,0.585726719,0.244778068,0.040469974,0.097693647,0.031331593,0.844706367,0.127500251,0.310666493,0.185713259,0.293915301
49,ys/geo,1-sample,500,460,480,38530.15017,924.7236041,in,2.208055556,0.346458674,0.319159643,0.199647754,0.096364323,0.038369606,0.95623835,0.123304178,0.210075146,0.197278556,0.381945524
50,ys/rog,2-sample,405,396,400.5,21922.94249,526.1506198,pl,1.350555556,0.56684492,0.219868367,0.13615796,0.039901275,0.037227478,0.738505957,0.118798036,0.180524259,0.154194037,0.255321301
51,ys/yee,1-sample,430,420,425,18279.06929,438.697663,pl,2.161666667,0.39385762,0.236057569,0.223978412,0.092521203,0.053585197,0.851852062,0.143078252,0.149447364,0.170583176,0.170247502
